Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,79.61538461538461,50.0,82.04545454545455,47.16596616576569,77.96428571428571,49.6551724137931
6,76.41025641025641,50.32258064516129,78.34848484848484,46.849147286955606,78.28571428571429,48.96551724137932
7,74.80769230769229,48.70967741935483,75.66666666666666,43.8696194662039,76.71428571428571,38.96551724137931
8,73.26923076923076,49.83870967741936,75.26190476190476,45.72105455085274,71.35714285714286,45.51724137931035
9,72.43589743589743,46.45161290322581,71.39285714285714,41.0185667053516,73.53571428571429,33.793103448275865
10,75.51282051282051,50.80645161290323,80.27272727272728,46.912505023055004,72.03174603174602,28.275862068965516
11,72.5,50.96774193548387,72.17748917748918,45.62146187146187,71.31746031746032,36.89655172413793
12,73.33333333333333,53.70967741935483,73.95238095238095,51.98444870807954,71.31746031746032,43.79310344827586
13,74.8076923076923,55.96774193548388,73.98701298701299,55.89073645652593,74.35317460317461,28.965517241379313
14,71.73076923076923,56.61290322580645,72.65367965367965,58.61190476190476,68.60317460317461,34.13793103448276
15,73.2051282051282,59.032258064516135,67.60317460317461,58.039655133308386,68.85317460317461,31.379310344827587
16,71.53846153846153,58.064516129032256,65.48412698412699,58.088882522706044,67.60317460317461,26.551724137931036
17,75.51282051282053,57.09677419354839,72.57142857142858,55.95263302229247,67.46428571428571,26.896551724137936
18,78.07692307692308,57.25806451612904,78.32539682539682,58.43638172972538,80.14285714285714,30.344827586206897
19,74.61538461538461,57.90322580645162,73.76190476190477,57.1617859264918,64.96428571428571,25.86206896551724
20,74.61538461538461,57.25806451612904,69.92857142857142,55.34695587636763,70.32142857142858,25.51724137931034
21,70.44871794871794,56.29032258064516,67.52380952380952,53.4371560750871,60.46428571428571,34.48275862068965
22,74.67948717948718,55.967741935483865,69.42857142857142,51.55116381203338,67.64285714285714,35.51724137931034
23,71.47435897435898,56.29032258064516,66.38095238095238,50.347396268448904,68.71428571428571,33.10344827586207
24,79.61538461538461,55.0,79.04761904761904,52.909252706930715,81.21428571428571,37.58620689655172
25,81.28205128205128,56.12903225806451,81.54761904761904,55.84400421261036,81.21428571428571,37.58620689655173
26,81.98717948717949,59.67741935483872,79.88095238095238,60.00784707327358,81.89285714285714,43.10344827586207
27,82.88461538461539,58.70967741935484,82.83333333333333,58.03244092508798,83.14285714285714,42.41379310344827
28,84.42307692307693,56.935483870967744,82.68181818181817,56.47078851507716,84.39285714285714,41.724137931034484
