Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
5,22.5,47.096774193548384,49.0,78.52941176470588,0.0,44.36304280263916,47.76075726082647,87.46153846153847,0.0,50.0,97.85714285714286,67.64705882352942
6,23.333333333333332,47.58064516129032,45.5,81.47058823529412,0.0,44.67762684012684,45.57041886049497,90.73809523809523,0.0,52.41379310344827,86.42857142857142,70.58823529411765
7,25.833333333333332,44.67741935483871,45.166666666666664,85.29411764705881,0.0,41.94129484600536,44.84147150296219,93.87820512820512,0.0,46.89655172413793,76.07142857142857,75.88235294117648
8,20.0,42.74193548387097,44.666666666666664,87.94117647058823,0.0,41.44967160885004,44.14058651801483,92.52100840336135,0.0,53.79310344827586,70.0,82.94117647058823
9,24.166666666666664,45.16129032258064,43.66666666666667,92.35294117647058,0.0,43.7246414868366,42.661076158187846,99.33333333333333,0.0,59.310344827586206,60.71428571428572,85.29411764705881
10,13.333333333333332,43.22580645161291,41.333333333333336,95.88235294117646,0.0,42.22308585723219,41.11592580282313,99.375,0.0,57.93103448275862,59.28571428571428,92.35294117647058
11,16.666666666666664,44.354838709677416,51.333333333333336,95.29411764705883,0.0,43.058005475555845,47.84967488651699,95.91970121381885,0.0,59.6551724137931,45.0,94.70588235294119
12,16.666666666666664,42.09677419354839,48.0,95.0,0.0,41.37581962115677,42.290849673202615,97.61029411764706,0.0,57.24137931034484,31.785714285714285,92.35294117647058
13,16.666666666666664,43.87096774193547,51.16666666666667,96.76470588235293,0.0,42.32386514093831,46.99615160269353,99.44444444444444,0.0,55.517241379310335,29.999999999999993,94.11764705882354
14,16.666666666666664,44.677419354838705,48.833333333333336,96.76470588235293,0.0,43.657212926356436,43.666177232353704,100.0,0.0,62.758620689655174,31.785714285714285,93.52941176470588
15,15.833333333333332,41.12903225806451,50.833333333333336,98.23529411764704,0.0,39.53742597492597,46.769149960831214,100.0,0.0,48.62068965517242,37.85714285714286,96.47058823529412
16,13.333333333333332,41.45161290322581,51.333333333333336,98.23529411764704,0.0,39.69901206685263,47.373348831014745,100.0,0.0,48.27586206896552,37.50000000000001,96.47058823529412
17,15.833333333333332,42.74193548387097,51.833333333333336,97.64705882352942,0.0,40.83420811748985,48.44342093781848,99.44444444444444,0.0,49.310344827586206,41.07142857142857,95.88235294117646
18,19.166666666666664,41.774193548387096,51.16666666666667,99.11764705882354,0.0,40.54415648133814,47.4102550373165,100.0,0.0,51.72413793103448,40.35714285714286,98.23529411764706
19,19.166666666666664,42.258064516129025,48.833333333333336,99.11764705882354,0.0,41.13697797018017,45.43971549811372,99.44444444444444,0.0,53.79310344827586,47.142857142857146,98.82352941176471
