Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
5,65.12820512820512,50.64516129032258,51.166666666666664,45.58823529411765,55.83333333333333,33.407624251886546,33.92891289501459,33.539164001958916,50.17460317460318,26.20689655172414,24.642857142857142,30.588235294117645
6,58.91025641025641,54.03225806451612,52.166666666666664,41.470588235294116,54.6031746031746,58.09615384615385,41.72222222222222,31.44139194139194,41.76190476190476,23.793103448275865,20.0,18.823529411764703
7,61.41025641025641,55.0,51.0,42.05882352941176,57.5,57.69088492808005,36.60950910950911,33.42207792207792,49.51587301587301,26.20689655172414,21.42857142857143,19.41176470588235
8,59.93589743589744,54.354838709677416,53.5,41.76470588235294,55.378787878787875,58.4251005845433,33.7206499772092,33.483420174596645,46.301587301587304,28.620689655172413,28.21428571428571,21.76470588235294
9,62.17948717948718,52.09677419354839,49.833333333333336,43.529411764705884,61.426406926406926,49.200980392156865,31.697530351180603,36.549503128450496,52.55555555555556,23.448275862068964,20.714285714285715,24.11764705882353
10,61.474358974358985,54.83870967741935,52.0,42.647058823529406,57.65873015873016,58.281130634071815,29.888400488400485,33.37301587301587,46.30555555555556,24.137931034482758,15.0,20.0
11,63.717948717948715,53.22580645161291,53.5,47.05882352941177,58.81349206349207,55.989145658263304,31.328502415458935,41.58928571428571,53.73015873015872,24.48275862068966,12.857142857142856,21.764705882352942
12,64.6794871794872,51.45161290322581,50.5,50.0,70.97763347763347,53.23611111111111,25.89795008912656,51.32868937048503,63.48412698412699,22.068965517241377,11.071428571428573,24.11764705882353
13,63.84615384615385,52.741935483870975,53.666666666666664,51.76470588235295,62.067460317460316,65.9954319377108,35.711233211233214,53.47186147186147,64.27777777777779,24.137931034482754,14.285714285714283,25.294117647058822
14,65.38461538461539,52.258064516129025,52.5,55.588235294117645,67.59559884559886,47.98618547868922,38.36287242169595,64.7070707070707,69.56746031746032,30.344827586206897,18.928571428571427,31.764705882352946
15,61.282051282051285,52.41935483870967,53.33333333333333,51.76470588235294,54.8531746031746,52.69730067093151,36.167582417582416,48.506493506493506,58.781746031746025,22.75862068965517,14.285714285714286,19.411764705882355
16,68.46153846153847,53.87096774193549,53.5,52.64705882352941,69.10497835497836,59.46297760210804,41.64703065134099,55.51845376845377,65.2063492063492,29.31034482758621,17.142857142857142,21.76470588235294
17,63.14102564102565,54.03225806451612,54.66666666666667,49.705882352941174,61.01587301587301,59.61949930928303,44.746594994273,50.28787878787879,64.0952380952381,28.275862068965516,20.357142857142854,18.823529411764707
18,66.92307692307693,53.225806451612904,52.5,52.05882352941177,64.19047619047619,52.59134088417976,47.076312576312574,58.19871794871794,69.59126984126985,37.241379310344826,22.857142857142854,21.176470588235293
19,66.15384615384616,52.41935483870967,55.16666666666667,48.82352941176471,63.45238095238096,50.249027769478715,53.58606263018028,49.63095238095237,69.31349206349208,52.06896551724138,33.57142857142857,32.35294117647059
20,65.25641025641025,52.90322580645161,58.0,44.705882352941174,63.73015873015875,54.68840121195406,56.60245636716225,43.414369256474515,64.05952380952381,47.58620689655172,28.571428571428566,27.647058823529413
21,66.15384615384616,51.29032258064517,58.333333333333336,48.52941176470588,66.61904761904762,52.64314574314575,56.164312101652264,50.787157287157285,61.02380952380952,40.0,29.28571428571429,24.705882352941174
22,65.06410256410257,52.58064516129033,58.166666666666664,48.82352941176471,65.88095238095238,53.85374736873987,54.4656862745098,50.094239094239086,61.88095238095239,43.44827586206897,30.714285714285715,25.882352941176475
23,66.92307692307693,53.064516129032256,57.0,52.35294117647059,64.75,54.17922151378034,55.999236058059594,59.448412698412696,68.95238095238095,32.75862068965517,23.57142857142857,19.41176470588235
24,66.08974358974359,51.12903225806452,58.5,52.05882352941177,62.575396825396844,51.49763594062729,56.987053795877316,62.980952380952374,61.56349206349207,36.55172413793103,29.28571428571429,28.235294117647054
25,66.92307692307692,50.483870967741936,59.33333333333333,51.17647058823529,63.82936507936508,50.675691934366,57.08738591130232,55.34687208216619,64.45238095238095,32.758620689655174,30.0,28.823529411764714
26,70.06410256410255,51.12903225806451,60.166666666666664,49.11764705882353,68.29365079365078,51.06474665685192,58.033716541456485,51.36539522568934,66.80952380952381,37.58620689655172,33.57142857142857,30.588235294117652
