Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,54.615384615384606,56.29032258064516,61.21212121212121,62.06456707543663,54.25396825396825,24.482758620689655
6,56.02564102564103,52.90322580645161,56.13275613275613,40.654456654456645,50.948412698412696,8.620689655172415
7,59.10256410256411,51.774193548387096,65.10894660894661,17.5,52.55555555555556,5.172413793103448
8,57.56410256410256,52.25806451612904,60.13275613275613,31.50840336134454,52.972222222222214,7.931034482758621
9,56.6025641025641,52.25806451612904,60.42857142857142,41.78993228993229,49.039682539682545,19.310344827586203
10,65.8974358974359,40.64516129032258,72.5,13.383449883449881,58.48412698412699,6.206896551724137
11,65.1923076923077,40.80645161290322,71.54761904761905,14.84361471861472,57.23412698412699,7.586206896551724
12,67.5,44.35483870967742,72.62698412698413,32.67676478746273,60.051587301587304,22.75862068965517
13,67.43589743589743,43.2258064516129,73.05555555555556,26.61437908496732,59.73412698412699,15.172413793103448
14,66.60256410256409,42.90322580645161,69.88888888888889,20.91047841047841,56.345238095238095,9.310344827586206
15,66.60256410256409,43.87096774193548,69.88888888888889,26.056776556776562,56.345238095238095,11.724137931034482
16,67.62820512820512,47.41935483870967,71.05555555555556,31.64384226884227,58.48412698412699,12.413793103448276
17,72.3076923076923,45.64516129032258,69.84126984126985,22.998168498168496,68.74603174603175,7.931034482758619
18,73.14102564102565,46.61290322580645,71.98412698412699,26.89210789210789,70.92460317460318,9.310344827586205
19,70.83333333333334,43.87096774193549,71.68650793650792,20.18997668997669,69.63492063492063,7.931034482758622
20,68.39743589743588,48.225806451612904,69.04761904761905,36.40584415584415,69.63492063492063,11.72413793103448
21,67.56410256410255,49.19354838709677,67.91666666666666,38.55952380952381,63.56349206349207,13.793103448275861
22,67.56410256410255,48.064516129032256,66.91666666666666,35.98709623709624,63.56349206349207,12.413793103448276
23,67.56410256410255,45.64516129032258,66.91666666666666,29.32359307359307,63.56349206349207,11.034482758620687
24,65.12820512820512,48.064516129032256,65.14285714285714,35.72280497280497,62.31349206349207,10.344827586206897
25,66.73076923076923,47.90322580645161,66.36507936507937,33.97602397602398,63.42460317460318,10.0
26,63.58974358974358,47.58064516129032,63.66666666666667,34.0499777999778,58.38492063492064,9.655172413793103
27,66.66666666666666,48.54838709677419,63.52380952380953,39.670634920634924,64.9920634920635,17.586206896551722
28,70.64102564102565,49.354838709677416,68.5436507936508,41.12078272604588,72.4920634920635,18.275862068965516
29,70.64102564102565,49.19354838709677,68.5436507936508,40.42420152946468,72.4920634920635,17.931034482758623
30,69.8076923076923,48.70967741935483,68.04761904761905,38.049145299145295,69.9920634920635,15.862068965517238
31,70.0,55.0,72.31746031746032,54.03911692882281,64.45238095238095,30.0
32,69.23076923076923,54.83870967741937,69.40079365079364,53.790777849601376,65.56349206349206,29.31034482758621
33,68.3974358974359,55.483870967741936,69.65079365079364,55.382205513784456,64.45238095238095,29.31034482758621
34,68.3974358974359,55.483870967741936,68.22222222222221,55.24206114998954,65.70238095238095,30.000000000000007
35,70.00000000000001,56.29032258064517,69.59126984126985,57.7532372598162,64.81349206349206,29.31034482758621
36,73.14102564102564,54.19354838709678,74.06349206349206,52.60573190139753,69.17460317460316,26.551724137931036
37,73.2051282051282,53.87096774193547,72.63888888888889,50.079025355374796,70.06349206349206,33.10344827586207
38,71.73076923076924,55.322580645161295,73.47222222222221,53.1184429530775,67.56349206349206,34.137931034482754
39,74.8076923076923,55.64516129032258,78.47222222222221,53.26406926406927,68.81349206349206,34.13793103448275
40,74.03846153846153,55.64516129032258,78.47222222222221,52.94640009113694,67.56349206349206,34.48275862068965
