Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,53.58974358974359,55.645161290322584,52.87049062049063,52.57720057720057,72.26984126984128,20.344827586206897
6,55.833333333333336,55.80645161290322,54.744949494949495,54.815101565101564,70.24603174603175,16.551724137931032
7,55.83333333333333,57.0967741935484,54.17352092352091,55.7156862745098,71.67460317460318,24.827586206896548
8,56.6025641025641,60.161290322580655,55.07828282828283,56.738653005792685,71.67460317460318,38.62068965517242
9,55.96153846153847,57.58064516129033,57.04853479853481,52.6024687872514,63.48015873015872,46.89655172413793
10,61.282051282051285,48.70967741935484,58.4978354978355,41.74875397798936,64.67460317460318,38.96551724137932
11,65.38461538461539,45.967741935483865,62.45238095238095,39.73767881902524,66.34126984126985,36.55172413793103
12,69.03846153846153,48.225806451612904,68.71428571428571,44.930459257795306,67.76984126984128,58.620689655172406
13,67.43589743589745,47.258064516129025,67.39285714285714,44.43698698921823,65.26984126984128,54.48275862068965
14,68.26923076923077,46.61290322580645,67.72619047619048,44.114021307569686,66.51984126984128,52.75862068965516
15,70.00000000000001,48.70967741935483,67.26190476190477,45.80801910078226,70.88095238095238,60.3448275862069
16,71.6025641025641,55.0,70.89682539682539,51.50501613228473,74.9484126984127,57.24137931034484
17,70.83333333333334,53.54838709677419,68.04761904761905,50.405653972464314,74.9484126984127,51.37931034482758
18,66.92307692307693,50.806451612903224,63.107142857142854,47.105524105524104,69.01984126984128,46.206896551724135
19,66.15384615384616,53.064516129032256,61.11507936507936,49.58621110690076,70.13095238095238,48.96551724137932
20,66.85897435897435,54.35483870967742,62.47619047619048,51.19939190758156,72.4920634920635,51.72413793103448
21,66.08974358974358,53.70967741935484,62.63888888888889,50.44386288998358,69.81349206349206,48.27586206896552
22,64.48717948717947,55.483870967741936,61.269841269841265,52.34745291426326,68.38492063492063,50.689655172413794
23,63.717948717948715,54.83870967741935,59.769841269841265,51.602843980256786,65.88492063492063,50.689655172413794
24,65.25641025641025,50.0,62.829365079365076,44.74627290500604,65.88492063492063,34.82758620689655
25,64.48717948717947,50.96774193548387,61.46428571428571,45.838447564400376,67.13492063492063,34.48275862068966
26,63.717948717948715,51.29032258064516,60.59126984126984,45.69065846434267,66.02380952380952,27.241379310344826
27,68.33333333333333,54.19354838709677,64.98412698412699,51.520327182396144,72.80952380952381,37.241379310344826
28,68.3974358974359,57.25806451612904,65.38888888888889,55.37475501880397,73.20238095238095,47.58620689655173
29,69.23076923076923,58.06451612903227,65.38888888888889,56.27361111111111,73.38095238095238,48.27586206896551
30,70.76923076923077,54.516129032258064,68.84126984126983,51.768712724739885,72.4484126984127,42.41379310344828
31,70.7051282051282,57.41935483870968,71.07142857142857,54.635195896473306,67.9484126984127,53.44827586206897
32,71.6025641025641,59.51612903225807,68.4920634920635,56.16120625160873,72.9484126984127,62.06896551724138
33,69.16666666666667,60.16129032258065,65.82539682539684,56.51863462208289,67.6984126984127,64.82758620689654
34,69.10256410256412,59.032258064516135,66.8015873015873,55.37062451640456,66.5873015873016,63.10344827586207
35,67.56410256410257,58.70967741935484,65.37301587301587,55.097343710616016,65.3373015873016,62.41379310344828
36,68.3974358974359,57.58064516129032,67.54761904761905,54.40600826189061,65.3373015873016,60.344827586206904
37,67.62820512820512,57.90322580645162,66.38095238095238,54.66236864750292,65.3373015873016,58.27586206896551
38,69.16666666666667,54.677419354838705,67.60317460317461,51.56642135043669,66.76587301587301,54.48275862068965
39,67.62820512820512,55.80645161290323,65.51984126984127,52.690052700922266,65.3373015873016,57.241379310344826
40,66.85897435897436,56.774193548387096,63.8531746031746,53.84742679861525,65.3373015873016,57.24137931034484
41,69.1025641025641,54.83870967741935,68.63492063492063,52.04808681525949,66.76587301587301,56.20689655172414
42,68.33333333333334,52.58064516129033,70.71428571428572,49.53252359502359,59.48015873015872,49.310344827586206
43,67.62820512820512,53.225806451612904,67.04761904761907,50.232604128043505,62.15873015873016,46.206896551724135
44,67.56410256410257,53.54838709677419,67.0873015873016,51.07014603530055,62.33730158730159,47.93103448275862
45,68.39743589743588,53.87096774193549,66.88888888888889,51.405572106350746,66.26587301587301,47.241379310344826
46,68.33333333333334,53.87096774193549,67.70238095238095,51.771588157965176,63.58730158730159,47.93103448275862
47,65.25641025641025,54.35483870967742,63.730158730158735,52.14143902074936,63.58730158730159,50.0
48,65.96153846153848,53.225806451612904,65.73809523809524,50.76105944949275,62.15873015873016,50.0
49,65.96153846153847,52.09677419354839,63.730158730158735,49.554000292295754,63.58730158730159,48.62068965517241
50,65.19230769230771,52.41935483870968,63.45238095238095,49.75870044987692,62.15873015873016,48.96551724137932
51,63.65384615384617,52.74193548387096,63.23809523809523,49.843010775566555,60.90873015873016,46.89655172413793
52,61.41025641025641,53.064516129032256,61.36904761904761,50.21914232507365,56.007936507936506,47.58620689655173
53,63.01282051282051,53.87096774193549,63.08333333333333,51.03446131197074,58.007936507936506,48.96551724137931
54,63.01282051282051,54.19354838709678,63.26190476190476,51.304965403089135,58.007936507936506,50.3448275862069
55,63.01282051282051,54.83870967741935,63.26190476190476,52.24108426361747,58.007936507936506,51.37931034482758
56,63.01282051282051,54.032258064516135,63.26190476190476,51.26968269358507,58.007936507936506,49.6551724137931
57,63.01282051282051,54.354838709677416,63.26190476190476,51.60338680926917,58.007936507936506,50.0
58,62.17948717948717,53.70967741935484,62.36904761904761,51.030489224037616,59.257936507936506,47.93103448275862
59,61.34615384615385,53.064516129032256,61.36904761904761,50.18462369273728,57.257936507936506,47.58620689655173
60,68.58974358974358,54.35483870967742,68.04761904761904,51.89801094783677,64.29761904761905,44.13793103448276
61,67.75641025641025,53.38709677419355,67.0952380952381,50.3475891282516,63.04761904761905,44.827586206896555
62,67.75641025641025,53.225806451612904,68.92063492063491,50.37249013337943,64.29761904761905,44.13793103448276
63,66.98717948717949,52.90322580645162,65.7301587301587,50.13400621118012,63.65873015873016,36.20689655172414
64,66.98717948717949,53.225806451612904,65.7301587301587,50.51078329882678,63.65873015873016,35.17241379310345
65,66.98717948717949,52.58064516129033,64.61904761904762,49.4122990536034,61.65873015873016,34.13793103448276
66,67.75641025641026,50.80645161290322,65.69047619047618,46.563090664887675,62.76984126984128,34.48275862068966
67,67.75641025641026,51.12903225806451,65.69047619047618,47.15686878269325,62.76984126984128,34.827586206896555
68,67.69230769230771,51.774193548387096,65.80952380952381,47.993735574113146,62.63095238095239,34.827586206896555
69,68.52564102564102,52.41935483870967,66.88095238095238,48.92542043514584,62.45238095238095,34.827586206896555
70,67.6923076923077,51.12903225806452,65.44047619047618,47.31489447288645,63.70238095238095,40.689655172413794
71,66.85897435897436,50.64516129032258,64.72619047619047,46.64188402874586,61.70238095238095,41.03448275862068
72,66.08974358974359,50.322580645161295,62.72222222222223,46.503508771929816,62.95238095238095,42.41379310344827
73,67.69230769230771,51.774193548387096,64.86507936507937,48.02588181686647,62.95238095238095,36.20689655172414
74,67.69230769230771,51.774193548387096,65.03174603174604,47.93416781428291,63.09126984126984,36.55172413793103
75,69.23076923076924,48.38709677419355,68.88095238095238,44.11670390541359,62.45238095238095,39.310344827586206
76,66.85897435897436,47.258064516129025,65.97619047619048,43.38183195563981,61.20238095238095,42.41379310344827
77,65.96153846153847,48.225806451612904,65.02380952380953,44.612145147577024,61.20238095238095,46.55172413793103
78,65.96153846153847,48.70967741935483,64.11111111111111,45.18217972769225,62.31349206349207,47.93103448275862
79,65.25641025641026,51.935483870967744,63.11904761904763,48.55251088997219,61.73015873015872,54.13793103448277
80,65.25641025641026,51.774193548387096,63.11904761904763,48.48735869324105,61.73015873015872,54.482758620689665
81,66.02564102564102,52.741935483870975,63.892857142857146,49.38275907316155,62.98015873015872,55.17241379310345
82,67.6923076923077,52.741935483870975,65.25,49.486822635642966,66.59126984126985,56.551724137931046
83,68.46153846153847,52.41935483870968,65.60714285714286,49.01849472212375,67.70238095238095,56.20689655172414
84,69.23076923076924,54.03225806451612,67.02380952380952,50.630042153170834,70.20238095238095,58.96551724137932
85,68.46153846153845,53.38709677419355,66.66666666666666,50.01973888048855,69.09126984126985,58.62068965517242
86,67.6923076923077,53.54838709677419,66.19047619047619,50.12451882571602,67.6626984126984,60.0
87,67.56410256410257,53.225806451612904,66.65873015873015,49.851547498606315,66.27380952380952,58.96551724137932
88,68.33333333333334,53.70967741935484,66.89682539682539,50.35618685729921,67.52380952380952,57.93103448275862
89,67.56410256410257,54.19354838709678,65.23015873015872,50.69154532947637,67.52380952380952,58.27586206896551
90,71.41025641025641,56.12903225806453,69.07936507936508,52.421266030736525,71.31349206349208,64.48275862068964
91,70.7051282051282,53.87096774193549,70.07936507936508,50.427011796222466,71.31349206349208,62.758620689655174
92,69.16666666666666,51.45161290322581,69.44444444444444,48.56414670342783,69.09126984126985,62.41379310344828
93,68.39743589743588,51.774193548387096,68.96825396825396,48.84058784489444,67.6626984126984,63.44827586206897
94,70.0,51.12903225806451,69.62301587301587,48.26595246276288,70.34126984126985,60.0
95,70.83333333333334,50.967741935483865,70.17857142857142,48.15222072777251,70.34126984126985,60.689655172413794
96,70.83333333333334,50.967741935483865,70.17857142857142,48.133160749313205,70.34126984126985,60.3448275862069
97,70.12820512820512,51.29032258064517,68.88888888888889,48.329647453702464,70.1626984126984,60.3448275862069
98,68.52564102564102,51.45161290322581,67.08333333333333,48.409839922052825,68.9126984126984,59.655172413793096
99,68.52564102564102,51.45161290322581,67.08333333333333,48.41726167289563,68.9126984126984,60.0
