Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,63.84615384615383,53.87096774193549,63.66666666666667,51.96414324166237,67.7063492063492,35.862068965517246
6,63.84615384615385,54.677419354838705,62.91666666666667,54.294372294372295,64.88888888888889,17.931034482758616
7,58.26923076923076,55.64516129032258,59.87085137085138,54.44569319569318,54.73809523809523,22.068965517241377
8,55.83333333333333,55.967741935483865,56.91450216450217,54.71428571428571,51.44444444444444,28.275862068965516
9,60.38461538461538,54.83870967741935,59.46428571428571,50.12573918456272,53.845238095238095,29.655172413793103
10,65.83333333333333,42.41935483870968,70.96031746031746,21.31008465218991,59.91269841269841,13.10344827586207
11,65.8974358974359,41.45161290322581,68.46428571428572,21.813780517727885,59.73412698412699,13.793103448275863
12,67.5,43.06451612903225,70.03571428571429,30.348953191058456,63.66269841269841,21.379310344827587
13,67.5,43.064516129032256,70.58333333333334,29.041176470588237,58.48412698412699,20.344827586206897
14,66.6025641025641,44.35483870967742,68.58333333333334,25.14661917603094,56.345238095238095,15.172413793103448
15,65.83333333333333,44.838709677419345,68.58333333333334,30.426620480968303,55.23412698412699,17.586206896551726
16,66.85897435897436,47.74193548387096,70.55555555555556,36.742333775615506,57.05555555555556,18.96551724137931
17,73.07692307692308,46.774193548387096,71.17460317460318,29.631264160675926,68.74603174603175,12.413793103448274
18,73.91025641025641,47.74193548387097,73.17460317460318,33.01731601731602,70.92460317460318,13.448275862068964
19,70.83333333333334,44.677419354838705,70.49603174603175,24.41857488916313,68.56349206349208,11.034482758620689
20,69.16666666666667,48.54838709677419,68.13888888888889,41.86217948717949,69.67460317460318,13.10344827586207
21,66.73076923076921,48.225806451612904,66.25,36.72952047952048,63.56349206349207,13.448275862068964
22,67.56410256410255,48.38709677419355,66.91666666666666,37.6494338994339,63.56349206349207,12.75862068965517
23,69.16666666666667,46.29032258064516,68.33333333333334,32.361138861138855,64.9920634920635,12.068965517241379
24,64.2948717948718,50.64516129032258,63.31746031746032,40.918109668109665,63.42460317460318,9.310344827586206
25,63.525641025641015,51.451612903225794,62.84126984126984,44.53751803751804,61.99603174603175,10.000000000000002
26,61.98717948717948,51.12903225806452,61.95238095238095,40.916666666666664,59.4563492063492,7.931034482758621
27,61.21794871794871,51.29032258064517,60.17460317460318,43.68428793428793,59.81349206349207,15.517241379310343
28,67.43589743589743,48.38709677419355,67.57142857142858,33.506854256854254,66.2420634920635,10.344827586206895
29,66.66666666666666,49.677419354838705,67.33333333333334,36.75865800865801,64.81349206349208,11.034482758620689
30,68.33333333333334,48.548387096774185,69.33333333333334,31.939948939948938,64.81349206349208,9.310344827586206
31,69.2948717948718,57.258064516129046,69.06746031746032,60.90562653720548,67.56349206349206,24.48275862068966
32,70.83333333333334,57.41935483870967,70.49603174603175,62.005494505494504,68.81349206349206,26.20689655172414
33,69.23076923076923,57.74193548387096,68.40079365079364,63.03724053724054,66.81349206349206,25.86206896551724
34,68.46153846153847,58.225806451612904,67.42857142857142,64.44028194028195,66.81349206349206,25.517241379310345
35,68.3974358974359,59.19354838709677,67.85714285714286,68.18439893439894,64.81349206349206,25.86206896551724
36,69.23076923076923,55.322580645161295,68.85714285714286,56.9229055258467,66.81349206349206,18.96551724137931
37,73.97435897435898,57.741935483870975,72.82539682539682,60.55650487619797,71.17460317460316,29.31034482758621
38,73.26923076923077,58.064516129032256,74.18650793650794,61.24792312950207,68.81349206349206,29.31034482758621
39,74.8076923076923,57.90322580645161,76.47222222222221,60.66269841269842,68.81349206349206,30.344827586206897
40,74.03846153846155,58.70967741935484,75.13888888888889,62.93192918192919,68.81349206349206,30.3448275862069
41,76.41025641025641,56.12903225806453,78.84920634920636,56.90564041221936,71.17460317460316,28.965517241379313
42,74.8076923076923,55.645161290322584,78.47222222222221,55.76220051877946,68.81349206349206,27.241379310344833
43,74.80769230769232,59.19354838709678,77.5,64.64661654135338,70.06349206349206,28.965517241379313
44,72.50000000000001,58.709677419354854,72.38888888888889,66.46336996336996,70.06349206349206,24.48275862068966
45,74.8076923076923,58.70967741935484,76.72222222222221,65.70038295038295,71.17460317460316,25.86206896551724
46,74.03846153846155,58.87096774193549,76.5,66.64866995749347,70.06349206349206,25.17241379310345
47,74.8076923076923,59.516129032258064,76.72222222222221,67.38584944467297,71.17460317460316,27.241379310344826
48,73.2051282051282,59.19354838709678,75.83333333333334,66.12594268476622,68.06349206349206,26.20689655172414
49,73.26923076923077,58.54838709677419,75.05555555555556,64.47608274078863,67.56349206349206,24.82758620689655
50,73.2051282051282,59.51612903225807,75.08333333333333,66.76800392589865,65.56349206349206,26.551724137931036
51,71.6025641025641,59.032258064516135,73.41666666666666,65.7285067873303,63.06349206349206,25.862068965517246
52,71.53846153846153,58.38709677419356,75.02380952380952,63.534062342885875,62.45238095238095,25.51724137931034
53,71.53846153846153,59.032258064516135,75.21428571428571,64.28007518796991,60.45238095238095,26.551724137931036
54,70.76923076923077,58.70967741935484,73.88095238095238,63.52458068247542,60.45238095238095,25.862068965517246
55,70.76923076923077,58.87096774193549,73.69047619047618,64.08379120879121,62.45238095238095,26.20689655172414
56,70.83333333333333,58.709677419354854,74.88095238095238,64.21555568614392,61.20238095238095,25.862068965517246
57,70.0,58.22580645161291,73.69047619047618,63.52824871207224,61.20238095238095,24.48275862068966
58,70.0,58.22580645161291,73.69047619047618,63.743450177273715,61.20238095238095,24.48275862068966
59,70.0,58.225806451612904,73.69047619047618,64.1372230710466,61.20238095238095,24.48275862068966
60,69.2948717948718,58.06451612903227,73.85714285714286,62.248217468805706,58.66269841269841,22.758620689655174
61,69.2948717948718,57.58064516129033,73.85714285714286,61.06639928698752,58.66269841269841,22.068965517241377
62,70.12820512820512,57.58064516129033,74.69047619047619,61.06639928698752,61.16269841269841,22.068965517241377
63,70.89743589743588,58.22580645161291,77.85714285714286,63.816017316017316,57.23412698412699,21.379310344827587
64,70.06410256410255,57.741935483870975,76.35714285714286,63.13653013653014,57.23412698412699,20.344827586206897
65,70.89743589743588,57.58064516129034,78.80952380952381,64.20238095238095,55.80555555555556,20.0
66,69.2948717948718,57.74193548387099,76.47619047619047,63.84126984126984,55.98412698412699,21.034482758620687
67,69.2948717948718,57.741935483870975,75.80952380952381,63.81531703590527,55.23412698412699,21.034482758620687
68,68.52564102564102,57.58064516129033,73.80952380952381,63.6314935064935,55.23412698412699,20.68965517241379
69,69.2948717948718,57.58064516129033,75.80952380952381,63.6314935064935,55.23412698412699,20.68965517241379
70,69.35897435897435,58.06451612903227,74.66666666666666,64.4534632034632,56.345238095238095,21.724137931034484
71,69.35897435897435,58.06451612903227,74.66666666666666,65.00054112554112,56.345238095238095,21.379310344827587
72,69.2948717948718,59.032258064516135,73.5,68.54717504717506,57.77380952380952,22.758620689655174
73,70.06410256410257,59.032258064516135,74.16666666666666,68.54717504717505,59.77380952380952,22.758620689655174
74,70.06410256410257,59.03225806451612,74.16666666666666,68.57242757242759,59.77380952380952,22.758620689655174
75,70.12820512820512,57.90322580645162,75.66666666666666,63.624625374625374,58.52380952380952,21.72413793103448
76,70.12820512820512,57.741935483870975,75.66666666666666,63.14302364302364,58.52380952380952,21.379310344827587
77,70.8974358974359,58.064516129032256,77.33333333333333,64.26748251748252,58.52380952380952,22.068965517241377
78,69.2948717948718,57.90322580645162,76.99999999999999,63.21933621933622,55.845238095238095,21.379310344827587
79,70.12820512820512,58.064516129032256,76.66666666666666,64.19210691269515,56.52380952380952,23.10344827586207
80,70.12820512820512,58.064516129032256,76.66666666666666,64.19210691269515,56.52380952380952,23.10344827586207
81,70.06410256410257,57.258064516129025,77.30952380952381,62.20272782772783,55.41269841269841,21.724137931034484
82,73.14102564102565,56.774193548387096,79.33333333333333,60.61846413820098,59.77380952380952,22.068965517241377
83,72.37179487179488,56.45161290322581,78.66666666666666,60.02719421101774,57.77380952380952,21.03448275862069
84,72.37179487179488,56.61290322580645,77.66666666666666,59.450206956785905,59.77380952380952,22.06896551724138
85,72.37179487179488,56.774193548387096,77.66666666666666,60.18216505716506,59.77380952380952,21.724137931034484
86,73.14102564102565,56.77419354838711,77.9047619047619,59.642121767121765,61.02380952380952,22.75862068965517
87,73.14102564102565,56.774193548387096,77.9047619047619,59.61381673881674,61.02380952380952,22.758620689655174
88,73.14102564102565,56.61290322580645,77.9047619047619,57.79230491730492,61.02380952380952,23.448275862068964
89,73.14102564102565,57.09677419354839,77.9047619047619,59.23033910533911,61.02380952380952,24.48275862068966
90,73.91025641025641,57.741935483870975,78.08333333333333,60.92474110856464,62.27380952380952,25.517241379310345
91,73.91025641025641,57.41935483870968,78.08333333333333,60.02507215007215,62.27380952380952,25.517241379310345
92,71.60256410256412,57.741935483870975,74.33333333333333,60.73935786435786,59.77380952380952,25.86206896551724
93,72.37179487179488,58.06451612903227,77.66666666666666,61.75947663447663,59.77380952380952,25.517241379310345
94,73.14102564102565,57.90322580645162,77.9047619047619,60.8929950768186,61.02380952380952,26.20689655172414
95,73.14102564102565,57.90322580645162,77.9047619047619,61.084914268737805,61.02380952380952,26.20689655172414
96,71.60256410256412,58.064516129032256,74.33333333333333,61.43921356421356,59.77380952380952,26.551724137931036
97,72.37179487179488,58.54838709677419,74.57142857142857,62.636384856973095,61.02380952380952,27.586206896551726
98,70.83333333333334,58.87096774193549,72.66666666666666,63.48739495798319,59.77380952380952,27.586206896551726
99,70.83333333333334,59.19354838709678,72.66666666666666,64.32306255835668,59.77380952380952,27.586206896551726
100,73.2051282051282,58.06451612903227,80.16666666666666,62.06250693750694,59.77380952380952,25.51724137931034
