Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,48.782051282051285,56.61290322580645,40.341269841269835,95.0,40.892857142857146,7.931034482758619
6,49.48717948717949,55.645161290322584,39.83333333333333,74.16666666666666,35.53571428571429,5.862068965517241
7,51.92307692307693,57.258064516129025,60.28571428571429,77.14285714285714,34.90079365079365,9.310344827586206
8,50.38461538461539,57.41935483870967,61.507936507936506,76.57142857142858,38.829365079365076,9.655172413793101
9,54.16666666666667,54.354838709677416,63.87085137085137,56.55555555555556,51.404761904761905,10.0
10,58.20512820512821,54.35483870967742,65.33116883116884,61.5,53.62698412698412,8.965517241379311
11,64.48717948717949,55.16129032258065,63.05952380952381,58.09003088414852,59.9563492063492,20.0
12,67.69230769230771,50.80645161290322,70.68542568542568,42.06349206349206,62.13888888888889,13.10344827586207
13,69.23076923076923,48.70967741935483,68.25,38.93001443001443,61.960317460317455,16.20689655172414
14,68.52564102564102,49.516129032258064,70.53571428571428,41.48556998556999,62.88888888888889,18.620689655172413
15,69.93589743589743,47.90322580645161,69.07936507936508,36.4410736322501,66.31746031746032,17.241379310344826
16,73.91025641025641,48.70967741935483,72.54761904761905,38.63936063936064,71.81349206349208,18.96551724137931
17,73.97435897435899,56.45161290322581,72.9047619047619,55.216411125853845,68.24603174603175,35.862068965517246
18,73.26923076923076,57.25806451612904,72.54761904761904,56.135784780521625,66.99603174603175,41.03448275862068
19,76.41025641025642,56.12903225806453,76.76984126984127,54.162732365673534,70.24603174603175,41.72413793103449
20,78.01282051282053,57.90322580645161,78.9047619047619,56.731153913614534,72.24603174603175,42.41379310344828
21,76.47435897435898,55.48387096774193,76.04761904761905,53.0857598541809,72.24603174603175,41.72413793103449
22,79.55128205128206,53.225806451612904,79.8452380952381,50.11160645396028,76.17460317460316,41.37931034482758
23,77.11538461538461,54.83870967741935,80.2222222222222,52.50038873745967,73.67460317460316,40.344827586206904
24,74.03846153846155,54.35483870967742,73.83333333333333,51.61533180778032,69.92460317460316,40.0
25,75.57692307692307,53.225806451612904,73.67857142857142,50.03806491415187,71.67460317460316,40.3448275862069
26,77.11538461538461,53.38709677419355,74.51190476190476,50.44285078638625,74.17460317460316,37.93103448275862
27,77.11538461538461,53.225806451612904,74.51190476190476,50.255618212197156,74.17460317460316,37.93103448275862
28,76.34615384615384,50.16129032258065,74.66666666666666,45.167048087791116,73.67460317460316,32.06896551724138
29,74.67948717948717,50.80645161290322,75.69841269841268,45.90326340326341,72.42460317460316,33.10344827586207
30,71.53846153846155,50.64516129032258,69.86904761904762,46.098813467234514,70.42460317460316,32.75862068965517
31,74.67948717948718,50.96774193548387,77.40079365079364,46.05483791570748,73.67460317460316,33.10344827586207
32,75.44871794871794,51.61290322580645,78.25,47.434884921841444,73.53571428571429,33.79310344827586
33,74.67948717948717,53.87096774193549,75.41666666666666,51.16884057971015,72.28571428571429,35.517241379310335
34,74.67948717948717,52.58064516129032,80.75,48.85579636439733,68.53571428571429,37.58620689655172
35,75.44871794871794,53.38709677419355,81.08333333333334,50.24490849813189,69.96428571428571,37.58620689655172
36,73.91025641025641,53.70967741935484,79.57070707070707,50.68206264832951,69.96428571428571,36.55172413793103
