Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,49.48717948717949,57.09677419354839,48.33730158730158,83.33333333333334,49.392857142857146,9.310344827586206
6,51.08974358974359,57.741935483870975,54.33730158730159,75.4047619047619,53.86111111111111,13.10344827586207
7,50.256410256410255,60.483870967741936,57.33333333333333,80.82801701222755,47.25396825396825,22.06896551724138
8,49.48717948717949,63.38709677419355,58.0530303030303,84.73809523809524,49.932539682539684,27.931034482758623
9,59.55128205128206,53.38709677419355,59.79545454545454,51.505827505827504,66.99603174603175,20.689655172413794
10,60.641025641025635,55.0,63.676406926406926,54.7658804158804,62.37301587301588,32.41379310344827
11,63.717948717948715,52.258064516129025,60.081168831168824,49.281933788007954,78.10317460317461,30.689655172413797
12,62.948717948717956,46.774193548387096,59.582251082251084,38.090182515694025,72.74603174603175,22.068965517241377
13,67.05128205128206,45.32258064516129,63.637806637806634,37.37945353580028,73.81746031746032,24.48275862068966
14,64.74358974358975,50.483870967741936,61.221139971139976,45.91999792732058,72.56746031746032,31.379310344827587
15,68.5897435897436,49.516129032258064,63.154761904761905,44.55171072365513,79.03174603174602,31.724137931034484
16,70.83333333333334,56.12903225806451,65.19444444444443,54.53008993070912,77.60317460317461,37.58620689655172
17,67.75641025641026,55.0,63.44047619047618,52.36707442792738,70.24603174603175,40.689655172413794
18,67.75641025641026,55.645161290322584,63.44047619047618,53.164240278051025,70.24603174603175,42.41379310344827
19,66.92307692307693,53.225806451612904,63.17857142857142,50.036266429648784,67.74603174603175,53.44827586206897
20,68.52564102564104,53.87096774193549,64.36904761904762,50.665770137639456,69.17460317460318,54.13793103448275
21,69.2948717948718,51.61290322580645,66.96825396825396,48.055933785244136,68.56349206349208,43.79310344827586
22,70.12820512820512,51.29032258064516,68.26190476190476,47.79871794871794,67.88492063492063,41.03448275862069
23,74.8076923076923,47.74193548387096,74.27380952380953,41.48618334373483,73.2420634920635,28.620689655172413
24,74.74358974358975,47.258064516129025,73.0952380952381,40.86294161933548,75.7420634920635,27.931034482758623
