Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,74.8076923076923,51.774193548387096,71.9978354978355,48.5146372285064,80.46428571428571,53.79310344827586
6,75.57692307692307,51.935483870967744,75.03030303030303,48.52561893528981,79.35317460317461,51.03448275862068
7,76.34615384615384,49.516129032258064,74.51515151515152,45.54351343586726,80.46428571428571,41.37931034482759
8,80.38461538461537,49.03225806451613,79.29292929292929,45.51239891766866,81.71428571428571,47.586206896551715
9,81.15384615384616,48.54838709677419,83.5873015873016,44.762051309214826,79.53174603174602,43.44827586206897
10,81.02564102564102,56.774193548387096,82.68253968253968,54.936019223743,80.03174603174602,42.06896551724138
11,81.15384615384616,57.74193548387096,84.77777777777777,56.19789096501978,78.28174603174602,43.10344827586207
12,81.15384615384616,57.90322580645162,86.77777777777777,57.316123419064596,74.53174603174602,39.6551724137931
13,79.61538461538461,58.06451612903227,83.16666666666667,60.16101717340108,75.60317460317461,31.724137931034484
14,78.84615384615384,60.16129032258065,82.15079365079364,62.406499202551835,75.60317460317461,38.27586206896552
15,81.2179487179487,59.83870967741937,84.76984126984128,64.38744588744588,78.28174603174602,31.724137931034484
16,77.94871794871796,56.77419354838711,80.1031746031746,57.88057775557776,75.60317460317461,28.620689655172413
17,76.4102564102564,56.61290322580646,77.81746031746032,55.654561082192664,74.35317460317461,32.41379310344827
18,78.71794871794872,55.483870967741936,80.44444444444443,52.86376123876124,78.14285714285714,28.620689655172413
19,80.32051282051282,57.58064516129033,81.15873015873015,58.484637782238394,79.39285714285714,28.965517241379313
20,79.55128205128206,57.41935483870968,80.15873015873015,56.83095851516904,80.64285714285714,33.44827586206896
21,77.94871794871794,58.064516129032256,75.74206349206348,59.17676767676767,82.64285714285714,32.41379310344828
22,79.55128205128204,57.90322580645161,80.15873015873015,56.69255254549372,79.89285714285714,41.03448275862069
23,78.84615384615384,54.516129032258064,81.1111111111111,51.780538302277435,77.21428571428571,36.20689655172414
24,81.92307692307692,54.677419354838705,82.44444444444443,52.14052935368725,81.21428571428571,37.93103448275862
25,82.88461538461539,55.80645161290323,83.94444444444443,54.13872158113644,81.71428571428571,36.89655172413793
26,82.75641025641025,58.70967741935484,82.15873015873015,58.867733058135535,85.14285714285714,38.96551724137931
27,82.82051282051283,58.70967741935484,82.83333333333333,59.50730994152046,83.71428571428571,36.89655172413793
28,80.51282051282053,58.709677419354854,82.74999999999999,59.730908152734784,80.2420634920635,36.20689655172414
29,79.74358974358975,60.16129032258065,82.24999999999999,61.533730717167245,78.2420634920635,39.310344827586206
30,81.21794871794872,58.54838709677419,82.55555555555556,58.943638061285114,78.10317460317461,37.241379310344826
31,81.98717948717949,58.064516129032256,85.16666666666666,57.96288124500198,76.67460317460318,37.93103448275862
32,81.98717948717949,57.58064516129033,85.16666666666666,57.20314098526173,76.67460317460318,37.58620689655172
33,84.35897435897436,60.967741935483865,84.6111111111111,63.31290849673202,83.28174603174602,38.9655172413793
34,85.12820512820512,57.90322580645162,85.58333333333333,55.62193983653335,84.96428571428571,49.6551724137931
35,83.52564102564102,57.09677419354839,84.83333333333334,54.55502645502645,83.85317460317461,48.62068965517242
36,83.52564102564102,57.25806451612904,84.83333333333334,54.85164481251438,83.85317460317461,48.275862068965516
37,82.75641025641026,56.774193548387096,83.5,54.30670746877644,83.85317460317461,48.275862068965516
38,81.98717948717949,57.09677419354839,82.54761904761905,54.8746328301051,83.85317460317461,48.275862068965516
39,81.98717948717949,57.09677419354839,82.54761904761905,54.84168263853421,83.85317460317461,48.96551724137932
40,81.98717948717949,55.96774193548388,82.85317460317461,53.18671882179947,81.35317460317461,51.72413793103448
41,81.98717948717949,55.80645161290323,82.85317460317461,53.00116285426352,81.35317460317461,51.72413793103448
42,82.75641025641025,54.032258064516135,82.96428571428571,50.93504908452072,82.46428571428571,52.068965517241374
43,81.92307692307693,54.03225806451612,81.9920634920635,50.96161466350564,82.46428571428571,52.068965517241374
44,81.08974358974359,54.19354838709678,82.11111111111111,51.027482001272325,81.35317460317461,54.137931034482754
45,85.8974358974359,54.19354838709677,84.38095238095238,51.08092418437246,85.64285714285714,52.758620689655174
46,83.52564102564102,55.16129032258065,82.96428571428571,52.133966512414794,80.46428571428571,52.758620689655174
47,84.2948717948718,55.80645161290322,83.96428571428571,52.74467232916245,82.96428571428571,54.137931034482754
48,86.66666666666667,55.80645161290323,85.02777777777779,52.925885225885224,87.14285714285714,49.310344827586206
49,86.6025641025641,55.322580645161295,85.04761904761905,52.39621489621489,87.14285714285714,47.93103448275862
50,88.26923076923077,54.354838709677416,89.46428571428571,51.32750480681515,85.14285714285714,46.55172413793103
51,87.37179487179488,53.70967741935484,87.82142857142857,50.55714285714286,86.21428571428571,47.24137931034483
52,87.49999999999999,54.67741935483872,89.52777777777779,51.774383748296785,82.64285714285714,45.172413793103445
53,88.2051282051282,53.87096774193549,89.0,50.75498575498575,85.14285714285714,46.89655172413793
54,88.2051282051282,53.54838709677419,89.0,50.47111478724382,85.14285714285714,46.55172413793103
55,88.97435897435898,52.74193548387096,89.0,49.44240102171136,87.14285714285714,45.86206896551724
56,86.6025641025641,52.74193548387096,85.86111111111111,49.42504645113341,87.64285714285714,42.758620689655174
57,88.33333333333334,53.54838709677419,86.08333333333333,50.35063929888614,88.89285714285714,44.13793103448276
58,89.87179487179489,52.41935483870968,90.08333333333333,48.95372850721316,89.39285714285714,48.27586206896551
59,88.91025641025641,53.54838709677419,90.91666666666666,50.13953056840988,85.64285714285714,51.03448275862068
