Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
5,79.55128205128204,51.45161290322581,56.0,59.70588235294118,82.58658008658008,48.85128504835042,56.92213423432936,76.95454545454547,75.10714285714286,52.06896551724138,33.57142857142858,32.352941176470594
6,76.47435897435898,49.516129032258064,58.666666666666664,61.47058823529413,78.74134199134198,46.191097103777864,59.4990345108295,80.55050505050505,79.53571428571429,49.6551724137931,48.57142857142857,32.94117647058824
7,75.51282051282053,50.64516129032258,59.16666666666667,59.411764705882355,68.36363636363636,42.89956020453675,57.10164835164835,78.21428571428571,76.57142857142858,46.20689655172414,30.000000000000007,23.52941176470588
8,78.7179487179487,47.41935483870967,58.33333333333333,54.11764705882352,80.16666666666666,43.2701520207638,61.25998217468806,64.67307692307692,80.46428571428571,42.06896551724138,33.92857142857143,18.235294117647058
9,67.37179487179488,48.54838709677419,57.66666666666667,56.176470588235304,63.33333333333333,43.446252173855754,62.004460593170265,92.04545454545455,70.21428571428571,36.55172413793103,29.642857142857146,20.588235294117645
10,76.47435897435898,50.80645161290322,55.5,58.82352941176471,81.6060606060606,45.95906191443949,57.3712169473039,100.0,71.85317460317461,31.724137931034484,29.999999999999993,17.647058823529413
11,77.17948717948718,54.03225806451612,56.33333333333333,57.64705882352941,78.43939393939394,51.438180557117064,63.96428571428572,90.0,78.28174603174602,39.310344827586206,22.857142857142854,15.294117647058822
12,75.51282051282051,54.83870967741935,55.66666666666667,56.47058823529412,75.61904761904762,55.546649294400424,63.254030501089325,100.0,75.96031746031746,33.79310344827586,23.571428571428573,12.941176470588236
13,76.47435897435896,55.645161290322584,56.66666666666667,52.94117647058823,75.39177489177489,55.8406400616927,68.55533596837944,50.0,77.03174603174602,28.965517241379313,17.499999999999996,5.882352941176471
14,73.33333333333334,57.58064516129033,56.833333333333336,55.0,75.36796536796537,60.86322463768115,64.92063492063491,90.0,71.10317460317461,35.172413793103445,26.428571428571427,10.000000000000002
15,77.94871794871794,60.16129032258065,55.66666666666667,52.94117647058823,79.18650793650794,65.33790511211767,61.93748079877112,60.0,73.46031746031746,35.86206896551724,22.5,5.882352941176471
