Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,74.8076923076923,51.774193548387096,71.9978354978355,48.5146372285064,80.46428571428571,53.79310344827586
6,75.57692307692307,51.935483870967744,75.03030303030303,48.52561893528981,79.35317460317461,51.03448275862068
7,80.44871794871794,51.935483870967744,78.22943722943722,48.697279986420696,85.46428571428571,56.89655172413793
8,80.38461538461537,49.03225806451613,79.29292929292929,45.51239891766866,81.71428571428571,47.586206896551715
9,81.15384615384616,48.54838709677419,83.5873015873016,44.762051309214826,79.53174603174602,43.44827586206897
10,81.02564102564102,56.774193548387096,82.68253968253968,54.936019223743,80.03174603174602,42.06896551724138
11,81.15384615384616,57.74193548387096,84.77777777777777,56.19789096501978,78.28174603174602,43.10344827586207
12,81.15384615384616,57.90322580645162,86.77777777777777,57.316123419064596,74.53174603174602,39.6551724137931
13,79.61538461538461,58.06451612903227,83.16666666666667,60.16101717340108,75.60317460317461,31.724137931034484
14,78.84615384615384,60.16129032258065,82.15079365079364,62.406499202551835,75.60317460317461,38.27586206896552
15,79.67948717948718,60.0,79.21428571428571,62.83119658119658,74.53174603174602,36.20689655172414
16,78.14102564102564,57.90322580645162,79.72222222222221,57.79302311036058,78.10317460317461,36.55172413793103
17,79.55128205128204,58.064516129032256,78.01587301587301,58.20630676513029,79.57142857142858,35.86206896551724
18,78.71794871794872,55.483870967741936,80.44444444444443,52.86376123876124,78.14285714285714,28.620689655172413
19,78.7820512820513,56.61290322580645,78.15873015873015,55.14070359465096,80.64285714285714,34.13793103448276
20,79.55128205128206,57.41935483870968,80.15873015873015,56.83095851516904,80.64285714285714,33.44827586206896
21,79.55128205128204,57.90322580645161,81.1111111111111,57.266110910073756,78.64285714285714,39.6551724137931
22,79.55128205128204,57.90322580645161,80.15873015873015,56.69255254549372,79.89285714285714,41.03448275862069
23,78.84615384615384,54.516129032258064,81.1111111111111,51.780538302277435,77.21428571428571,36.20689655172414
24,79.67948717948718,54.83870967741937,82.4920634920635,52.54265565875473,77.21428571428571,33.103448275862064
25,78.07692307692307,55.645161290322584,79.92857142857142,54.14546783625731,77.96428571428571,33.10344827586207
26,78.07692307692308,58.54838709677419,81.8611111111111,59.544547643618856,75.92063492063491,35.172413793103445
27,82.82051282051283,58.70967741935484,82.83333333333333,59.50730994152046,83.71428571428571,36.89655172413793
28,80.51282051282053,58.709677419354854,82.74999999999999,59.730908152734784,80.2420634920635,36.20689655172414
29,82.05128205128207,57.741935483870975,83.38095238095238,58.216944481835455,80.60317460317461,34.137931034482754
30,84.42307692307693,58.54838709677419,86.83333333333333,58.63605091159271,82.42460317460318,38.96551724137931
31,81.98717948717949,58.064516129032256,85.16666666666666,57.96288124500198,76.67460317460318,37.93103448275862
32,83.58974358974359,60.16129032258065,84.33333333333333,62.07391640866873,81.85317460317461,37.58620689655172
33,85.12820512820512,57.741935483870975,85.58333333333333,55.391170605764124,84.96428571428571,49.6551724137931
34,85.12820512820512,57.90322580645162,85.58333333333333,55.62193983653335,84.96428571428571,49.6551724137931
35,85.8974358974359,57.41935483870968,85.8611111111111,54.93034744591548,86.39285714285714,50.3448275862069
36,81.98717948717949,57.25806451612904,81.5,54.76633404909266,83.85317460317461,49.310344827586206
37,82.75641025641026,56.774193548387096,83.5,54.30670746877644,83.85317460317461,48.275862068965516
38,82.6923076923077,55.483870967741936,83.65873015873015,52.601764025123316,83.85317460317461,51.72413793103448
39,81.15384615384616,56.12903225806453,80.54761904761905,53.298847433928074,83.85317460317461,52.41379310344828
40,83.46153846153847,54.19354838709678,83.61111111111111,51.1184331797235,84.96428571428571,51.72413793103448
41,86.66666666666666,53.38709677419355,85.04761904761905,50.25906768837804,88.14285714285714,48.62068965517241
42,86.66666666666666,53.54838709677419,85.04761904761905,50.385185185185186,88.14285714285714,50.0
43,86.66666666666666,53.87096774193549,85.04761904761905,50.756011676701334,88.14285714285714,50.3448275862069
44,85.8974358974359,54.19354838709677,84.38095238095238,51.0518982932776,85.64285714285714,51.72413793103448
45,86.6025641025641,53.70967741935484,84.90873015873015,50.53691099820132,88.89285714285714,48.96551724137931
46,83.52564102564102,55.16129032258065,82.96428571428571,52.133966512414794,80.46428571428571,52.758620689655174
47,85.06410256410257,54.83870967741937,84.2420634920635,51.820236771015416,84.39285714285714,50.689655172413794
48,85.06410256410257,55.64516129032258,84.2420634920635,52.62917902607836,84.39285714285714,52.41379310344828
49,83.52564102564102,54.354838709677416,83.2420634920635,51.187796445304784,80.64285714285714,53.10344827586206
50,88.26923076923077,54.354838709677416,89.46428571428571,51.32750480681515,85.14285714285714,46.55172413793103
51,87.37179487179488,53.70967741935484,87.82142857142857,50.55714285714286,86.21428571428571,47.24137931034483
52,87.30769230769229,54.03225806451612,85.52777777777779,50.86314708650637,89.64285714285714,50.0
53,88.2051282051282,53.87096774193549,89.0,50.75498575498575,85.14285714285714,46.89655172413793
54,88.2051282051282,53.54838709677419,89.0,50.47111478724382,85.14285714285714,46.55172413793103
55,87.3076923076923,54.19354838709678,87.32142857142858,51.210618228638246,85.89285714285714,51.72413793103448
56,88.91025641025641,52.90322580645161,88.52777777777779,49.83439448576365,89.64285714285714,51.03448275862068
57,89.74358974358975,53.225806451612904,90.08333333333333,49.925294278394944,90.14285714285714,50.689655172413794
58,89.67948717948718,54.354838709677416,90.25,51.009750626129936,87.14285714285714,52.41379310344828
59,88.91025641025641,53.54838709677419,90.91666666666666,50.13953056840988,85.64285714285714,51.03448275862068
