Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,75.64102564102565,51.45161290322581,71.87878787878788,48.50240286564099,84.21428571428571,61.03448275862068
6,75.64102564102565,52.74193548387096,70.28354978354977,49.46884796102064,87.46428571428571,55.517241379310335
7,78.2051282051282,49.516129032258064,72.9112554112554,46.782606035577174,90.14285714285714,57.93103448275862
8,79.74358974358975,47.25806451612903,75.46320346320346,43.599580017683465,89.03174603174602,44.827586206896555
9,79.67948717948718,48.387096774193544,79.88095238095238,44.514291475815966,82.64285714285714,40.689655172413794
10,78.84615384615384,54.354838709677416,78.43145743145742,51.45352040578901,82.03174603174602,44.48275862068966
11,77.17948717948718,53.54838709677419,77.71717171717171,50.29750536819502,78.28174603174602,42.758620689655174
12,78.78205128205128,52.90322580645162,78.38383838383838,49.60413640939957,78.28174603174602,40.34482758620689
13,77.30769230769229,56.29032258064516,74.8008658008658,54.18018531176426,78.14285714285714,42.41379310344828
14,76.47435897435898,57.41935483870968,75.61904761904762,55.969807969807974,77.53174603174602,44.82758620689655
15,78.01282051282051,59.354838709677416,77.06349206349208,59.00629890163278,78.32142857142858,38.96551724137931
16,78.91025641025641,60.322580645161295,79.18253968253968,60.96451598293171,78.32142857142858,43.79310344827586
17,75.7051282051282,60.64516129032258,72.61435786435786,60.860518771846,81.57142857142858,44.13793103448276
18,77.17948717948717,61.61290322580645,74.93253968253968,62.84871346403854,80.14285714285714,43.10344827586207
19,74.80769230769229,59.67741935483872,72.15873015873015,60.17294560444716,76.89285714285714,40.0
20,74.67948717948718,59.516129032258064,73.69444444444444,60.25090187590187,76.89285714285714,37.93103448275862
21,79.61538461538461,57.58064516129033,79.15873015873015,55.35650404346056,84.39285714285714,48.96551724137931
22,76.47435897435896,60.64516129032258,75.71428571428572,58.084476748686974,82.78174603174602,57.58620689655172
23,80.44871794871794,58.064516129032256,80.38095238095238,55.56970513522238,84.03174603174602,51.379310344827594
24,81.21794871794872,59.35483870967742,80.23809523809523,57.34564509564509,86.03174603174602,51.72413793103448
25,80.44871794871794,57.25806451612904,78.57142857142857,54.841430475238575,86.03174603174602,49.6551724137931
26,81.15384615384615,60.967741935483865,79.66666666666666,59.968417015268585,85.28174603174602,50.3448275862069
27,80.38461538461539,61.29032258064517,78.77777777777777,59.8532161879988,86.39285714285714,52.41379310344828
28,82.6923076923077,61.29032258064517,80.88888888888889,59.69224453707212,87.64285714285714,53.10344827586207
29,80.44871794871794,65.48387096774192,79.04761904761905,62.60458349585158,85.28174603174602,65.17241379310346
30,79.67948717948717,62.258064516129025,78.15873015873015,59.122676892073436,85.28174603174602,63.10344827586207
31,81.98717948717947,61.61290322580645,80.04761904761904,58.46749494198866,86.53174603174602,62.41379310344828
32,82.05128205128207,61.77419354838709,79.18650793650794,59.39666886691359,84.03174603174602,58.27586206896551
33,86.66666666666666,55.483870967741936,84.38888888888889,52.16305334450495,88.5,57.93103448275862
34,85.12820512820512,55.483870967741936,82.22222222222223,52.16305334450495,86.0,57.93103448275862
35,84.2948717948718,55.80645161290323,79.26984126984128,52.46675569054601,87.25,57.93103448275862
36,87.56410256410257,55.967741935483865,87.33333333333334,52.390720743661916,86.71031746031746,63.79310344827586
37,86.02564102564102,56.45161290322581,85.5,52.78635778635778,87.96031746031746,65.17241379310346
38,87.49999999999999,56.45161290322581,85.51587301587301,52.77281438891346,90.32142857142858,65.17241379310346
39,86.73076923076923,56.61290322580645,84.68253968253968,52.944375560474626,87.82142857142858,65.86206896551724
40,86.66666666666666,55.645161290322584,84.18253968253967,52.05625127006706,90.32142857142858,65.17241379310346
41,85.8974358974359,55.0,86.44444444444443,51.5198561514351,84.57142857142858,64.13793103448276
42,86.66666666666666,54.83870967741937,87.77777777777779,51.3371266002845,84.57142857142858,65.17241379310346
43,85.8974358974359,54.83870967741937,85.27777777777779,51.37469800627696,84.57142857142858,64.13793103448276
44,85.06410256410257,55.000000000000014,83.77777777777779,51.49521325837115,84.57142857142858,64.48275862068967
45,87.43589743589745,53.54838709677419,86.75,50.27803242509125,86.57142857142858,59.310344827586206
46,85.8974358974359,52.90322580645161,84.91666666666666,49.69198397062174,84.57142857142858,60.0
