Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,75.64102564102565,53.87096774193547,72.9978354978355,50.57579909192812,80.46428571428571,58.96551724137932
6,71.60256410256412,55.16129032258065,69.09307359307358,51.80380103767201,75.96428571428571,55.517241379310335
7,79.61538461538461,52.90322580645161,78.96212121212122,49.66901233030266,83.14285714285714,57.241379310344826
8,78.78205128205128,50.967741935483865,79.53030303030303,47.24074488729661,81.89285714285714,49.655172413793096
9,81.02564102564102,49.354838709677416,83.95959595959596,45.473141450461284,79.39285714285714,41.03448275862068
10,80.32051282051282,54.83870967741935,81.77777777777779,52.543979834496724,77.03174603174602,37.93103448275862
11,81.08974358974358,56.451612903225815,83.77777777777777,54.91304644040544,79.53174603174602,39.310344827586206
12,79.55128205128204,56.77419354838711,84.77777777777777,55.59154827800338,74.53174603174602,36.20689655172414
13,80.38461538461539,57.90322580645162,83.4047619047619,59.845695970695964,77.03174603174602,31.724137931034484
14,81.15384615384616,60.0,84.2936507936508,62.35192147034252,77.03174603174602,36.89655172413793
15,79.67948717948718,59.83870967741935,80.38095238095238,63.314841204547086,74.53174603174602,34.137931034482754
16,78.07692307692307,57.90322580645161,78.83333333333333,58.6455937079776,74.21428571428571,34.827586206896555
17,78.78205128205127,57.58064516129032,77.77777777777777,57.74930418738468,78.14285714285714,34.827586206896555
18,79.48717948717947,55.80645161290323,81.15873015873015,54.28400611256649,78.14285714285714,26.896551724137925
19,77.94871794871796,54.83870967741935,77.4920634920635,52.44237857086155,78.14285714285714,28.620689655172413
20,79.55128205128206,56.12903225806453,80.15873015873015,54.74239296994715,80.64285714285714,29.31034482758621
21,80.32051282051282,57.90322580645162,82.1111111111111,57.44682654283544,78.64285714285714,37.93103448275862
22,79.48717948717947,58.225806451612904,81.15873015873015,58.106849119233026,78.64285714285714,37.931034482758626
23,77.94871794871793,53.87096774193549,80.15873015873015,51.02756892230576,77.39285714285714,32.06896551724138
24,79.67948717948717,53.38709677419355,82.4920634920635,49.96652783920586,77.96428571428571,27.931034482758623
25,78.91025641025641,54.51612903225807,80.88095238095238,52.28513071895425,77.96428571428571,28.96551724137931
26,78.91025641025642,56.774193548387096,80.90873015873015,56.85172915319974,78.42063492063491,30.344827586206897
27,83.58974358974359,59.354838709677416,83.33333333333333,61.240859501695425,85.14285714285714,35.51724137931034
28,82.05128205128207,59.354838709677416,84.58333333333333,61.1783380018674,81.4920634920635,35.51724137931035
29,82.88461538461539,55.80645161290323,84.26984126984127,55.32060921534605,82.60317460317461,27.241379310344826
30,80.51282051282053,56.935483870967744,83.43650793650792,57.67032967032967,79.92460317460318,29.31034482758621
31,80.51282051282053,57.419354838709694,82.54761904761904,58.42436974789916,79.35317460317461,30.689655172413797
32,83.58974358974359,57.741935483870975,83.65873015873015,59.229755538579056,83.28174603174602,30.3448275862069
33,84.35897435897436,55.645161290322584,85.29761904761904,54.23358395989975,85.28174603174602,36.55172413793103
34,84.35897435897436,56.451612903225815,85.29761904761904,55.712256130522384,85.28174603174602,36.89655172413793
35,84.42307692307692,56.451612903225815,86.54761904761904,55.56944444444444,83.85317460317461,36.896551724137936
36,83.65384615384616,57.58064516129033,86.13095238095238,57.23644338118023,82.7420634920635,38.96551724137932
37,81.34615384615384,56.93548387096776,82.79761904761904,56.232456140350884,82.7420634920635,38.620689655172406
38,81.15384615384616,55.322580645161295,82.57539682539684,53.34358824919466,80.42063492063491,40.689655172413794
