Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
5,57.857142857142854,60.96774193548388,48.66666666666667,52.058823529411754,0.0,40.38491506934705,25.793269230769226,33.21428571428571,0.0,54.137931034482754,41.07142857142857,38.8235294117647
6,56.666666666666664,61.29032258064516,49.166666666666664,50.0,0.0,45.786396996074416,41.67777777777778,34.43722943722944,0.0,65.51724137931035,51.07142857142857,45.88235294117647
7,60.0,67.09677419354838,48.5,52.94117647058823,0.0,75.09494360407427,44.790206134973154,54.96798362927395,0.0,71.03448275862067,51.42857142857143,45.882352941176464
8,72.14285714285714,75.0,45.333333333333336,51.76470588235294,0.0,85.45314227517616,40.37455518156297,58.07837323966356,0.0,69.3103448275862,40.00000000000001,32.94117647058823
9,73.0952380952381,80.80645161290322,44.0,54.705882352941174,0.0,79.74737806009841,41.51616777924917,54.81143856143856,0.0,84.13793103448276,52.5,40.58823529411764
10,69.52380952380953,83.2258064516129,42.66666666666667,55.294117647058826,0.0,83.17910309352746,39.399306365854024,58.114959114959106,0.0,91.03448275862068,48.92857142857143,45.29411764705882
11,66.19047619047619,83.06451612903226,43.83333333333333,55.294117647058826,0.0,83.32709107283577,40.35907571125682,57.66190476190476,0.0,88.27586206896551,47.14285714285714,40.588235294117645
12,65.95238095238095,82.74193548387098,44.50000000000001,56.76470588235295,0.0,84.23729482492496,39.469401611923715,61.09633333998126,0.0,84.82758620689654,42.857142857142854,40.588235294117645
13,64.28571428571429,88.06451612903226,44.166666666666664,56.17647058823529,0.0,87.28006160751286,41.75228311420262,59.514938521517465,0.0,90.3448275862069,44.64285714285715,39.411764705882355
14,52.38095238095239,91.29032258064515,43.833333333333336,57.64705882352941,0.0,88.49548524278237,41.14398965275543,61.967194570135746,0.0,95.51724137931035,48.92857142857143,44.11764705882353
15,54.28571428571429,91.12903225806451,44.16666666666667,55.88235294117648,0.0,88.10195580828652,42.06663318760093,60.034798534798526,0.0,95.17241379310344,52.14285714285713,37.05882352941176
16,54.28571428571428,93.2258064516129,43.99999999999999,57.941176470588246,0.0,90.77793870073283,41.36441042386165,61.2332251082251,0.0,95.86206896551725,47.857142857142854,41.76470588235294
17,54.28571428571429,93.70967741935483,43.00000000000001,56.17647058823529,0.0,92.10790781646631,39.79666715130711,57.252525252525245,0.0,95.51724137931035,44.285714285714285,37.647058823529406
18,60.47619047619048,95.16129032258065,46.0,58.23529411764707,0.0,93.06553111902602,42.31081733876293,66.1451914098973,0.0,97.24137931034484,42.5,33.529411764705884
19,57.142857142857146,95.48387096774192,46.0,58.52941176470589,0.0,93.13789266552548,42.44083000333,64.63780663780663,0.0,97.93103448275863,43.21428571428571,36.470588235294116
20,71.9047619047619,94.19354838709678,46.00000000000001,55.588235294117645,0.0,91.94256201823433,41.80376595082477,59.71853146853147,0.0,96.20689655172414,37.857142857142854,32.352941176470594
21,73.57142857142858,93.70967741935483,45.66666666666667,54.117647058823536,0.0,91.23592230905913,41.461663874707355,55.83821733821734,0.0,95.86206896551725,36.42857142857143,32.352941176470594
22,73.80952380952381,94.51612903225808,44.16666666666667,52.94117647058823,0.0,92.25397146420507,39.52802676626206,55.44871794871794,0.0,96.55172413793105,35.357142857142854,28.235294117647054
23,70.23809523809524,95.16129032258065,42.66666666666667,52.64705882352941,0.0,93.6084261493049,39.07828311049727,54.48840048840049,0.0,96.55172413793105,37.85714285714286,28.823529411764707
24,68.57142857142858,95.80645161290322,42.5,52.35294117647059,0.0,94.47571977521923,37.398324714501186,53.45543345543346,0.0,96.89655172413794,34.28571428571429,28.235294117647054
25,67.14285714285714,95.80645161290322,43.83333333333333,51.47058823529412,0.0,95.2555327192056,39.59958427385506,48.21428571428571,0.0,96.20689655172414,36.78571428571429,27.64705882352941
26,68.57142857142857,95.80645161290322,44.0,52.94117647058823,0.0,96.10069807268084,39.02985895643978,50.384615384615394,0.0,95.17241379310346,35.0,29.411764705882348
27,61.904761904761905,96.61290322580643,44.49999999999999,53.52941176470588,0.0,95.75587048647394,39.920647089874976,56.159312909312916,0.0,97.24137931034484,36.78571428571429,31.76470588235294
28,63.57142857142857,97.09677419354838,46.33333333333333,52.05882352941177,0.0,96.65764687100895,41.90260178418073,53.82539682539683,0.0,97.24137931034484,36.42857142857143,32.352941176470594
29,61.904761904761905,95.64516129032258,45.0,52.058823529411754,0.0,95.32155069418697,40.174457947341246,53.86080586080586,0.0,95.51724137931035,35.0,29.411764705882348
30,68.57142857142857,95.96774193548387,47.16666666666667,52.35294117647059,0.0,95.36187327483212,42.39370139664258,53.0903540903541,0.0,96.20689655172416,33.57142857142857,26.470588235294116
31,70.23809523809524,95.64516129032258,45.99999999999999,50.88235294117647,0.0,95.70568336002151,40.87776209297948,50.27958152958153,0.0,95.17241379310346,33.57142857142858,23.52941176470588
32,66.9047619047619,95.96774193548387,45.83333333333333,50.294117647058826,0.0,95.70568336002151,40.667020867936195,48.49422799422799,0.0,95.86206896551725,33.57142857142858,21.764705882352942
33,68.57142857142857,94.99999999999999,46.0,49.705882352941174,0.0,95.76307817033623,40.86644349380509,44.595238095238095,0.0,93.79310344827587,33.92857142857143,20.0
34,65.47619047619047,92.90322580645162,45.83333333333333,51.1764705882353,0.0,93.18243300904591,40.694242506386715,45.79991645781119,0.0,92.06896551724138,34.28571428571429,24.705882352941174
35,68.57142857142857,95.16129032258064,45.83333333333333,48.82352941176471,0.0,95.7400896645891,40.77884488491685,42.383116883116884,0.0,94.13793103448276,34.28571428571429,18.823529411764703
36,63.80952380952381,93.54838709677419,46.33333333333333,52.35294117647059,0.0,92.14840834452903,41.52114121510673,47.46428571428571,0.0,94.82758620689654,35.35714285714286,24.117647058823525
37,68.80952380952381,93.54838709677419,46.83333333333333,52.64705882352941,0.0,91.62297544409613,42.09643699073983,48.92857142857142,0.0,95.51724137931033,35.0,22.941176470588236
38,70.47619047619047,94.03225806451613,47.66666666666667,52.64705882352941,0.0,91.9090909090909,43.2687163329741,49.48739495798319,0.0,96.20689655172414,36.07142857142857,22.352941176470587
39,70.23809523809524,96.93548387096774,47.00000000000001,50.58823529411765,0.0,95.86417779013718,42.25381430604555,46.857142857142854,0.0,97.93103448275862,35.714285714285715,17.64705882352941
40,65.23809523809524,97.41935483870968,46.833333333333336,50.88235294117647,0.0,96.15651649981461,42.47554415571657,50.14285714285714,0.0,98.62068965517241,35.35714285714286,18.823529411764703
41,68.57142857142857,98.06451612903226,46.49999999999999,51.17647058823529,0.0,96.74119391916945,41.25872317359732,51.08333333333333,0.0,99.3103448275862,33.21428571428571,18.235294117647058
42,65.23809523809524,94.35483870967742,46.0,53.52941176470589,0.0,94.61805496135307,40.158250931053466,54.79761904761905,0.0,93.44827586206897,31.071428571428566,24.70588235294117
43,63.57142857142857,94.51612903225806,43.00000000000001,53.52941176470588,0.0,94.5983367763123,36.9358168617525,56.18650793650794,0.0,93.79310344827586,31.785714285714278,24.705882352941174
44,63.57142857142857,94.03225806451613,43.16666666666667,54.11764705882352,0.0,93.98257322951426,37.66206786716532,56.32326007326007,0.0,93.44827586206897,32.857142857142854,25.88235294117647
45,63.57142857142857,94.03225806451613,43.333333333333336,54.117647058823536,0.0,93.98257322951426,37.949278368334625,53.916666666666664,0.0,93.44827586206897,33.57142857142857,25.88235294117647
46,63.57142857142857,93.87096774193549,43.16666666666667,52.941176470588246,0.0,94.04888622686175,38.018900035233976,53.81593406593406,0.0,92.75862068965517,33.92857142857143,24.705882352941174
47,61.904761904761905,93.2258064516129,44.5,51.47058823529411,0.0,92.62305854241336,39.34062673109326,51.107142857142854,0.0,92.75862068965517,34.64285714285714,21.76470588235294
48,61.904761904761905,93.87096774193549,40.333333333333336,52.35294117647059,0.0,93.27236204655559,37.52079884143778,52.142857142857146,0.0,93.44827586206897,40.0,22.941176470588232
49,61.904761904761905,94.03225806451613,40.33333333333333,51.47058823529412,0.0,93.74855252274605,37.28071079836878,50.023809523809526,0.0,93.44827586206897,39.28571428571429,21.176470588235293
50,63.57142857142857,93.06451612903226,39.5,50.588235294117645,0.0,92.28907450076804,36.827349192775934,49.142857142857146,0.0,93.10344827586206,39.642857142857146,19.999999999999996
