Number of features,Accuracy_SRPBS,Accuracy_OPP,Precision_SRPBS,Precision_OPP,Recall_SRPBS,Recall_OPP
5,75.64102564102565,53.87096774193547,72.9978354978355,50.57579909192812,80.46428571428571,58.96551724137932
6,71.60256410256412,55.16129032258065,69.09307359307358,51.80380103767201,75.96428571428571,55.517241379310335
7,74.80769230769229,51.61290322580645,73.56926406926407,47.774545457735115,79.21428571428571,44.13793103448276
8,78.78205128205128,50.967741935483865,79.53030303030303,47.24074488729661,81.89285714285714,49.655172413793096
9,81.02564102564102,49.354838709677416,83.95959595959596,45.473141450461284,79.39285714285714,41.03448275862068
10,80.32051282051282,54.83870967741935,81.77777777777779,52.543979834496724,77.03174603174602,37.93103448275862
11,81.08974358974358,56.451612903225815,83.77777777777777,54.91304644040544,79.53174603174602,39.310344827586206
12,79.55128205128204,56.77419354838711,84.77777777777777,55.59154827800338,74.53174603174602,36.20689655172414
13,80.38461538461539,57.90322580645162,83.4047619047619,59.845695970695964,77.03174603174602,31.724137931034484
14,81.15384615384616,60.0,84.2936507936508,62.35192147034252,77.03174603174602,36.89655172413793
15,79.61538461538461,58.548387096774206,82.26984126984128,62.227044884939616,77.03174603174602,28.620689655172413
16,77.17948717948717,56.29032258064517,80.1984126984127,57.11065250538935,75.60317460317461,25.517241379310345
17,77.17948717948718,55.80645161290323,78.10317460317461,54.00627404071677,76.85317460317461,30.000000000000007
18,79.48717948717947,55.80645161290323,81.15873015873015,54.28400611256649,78.14285714285714,26.896551724137925
19,80.32051282051282,56.451612903225815,81.15873015873015,56.63845876345876,79.39285714285714,25.86206896551724
20,79.55128205128206,56.12903225806453,80.15873015873015,54.74239296994715,80.64285714285714,29.31034482758621
21,78.7820512820513,57.41935483870968,77.74206349206348,58.247258417537054,82.64285714285714,30.0
22,79.48717948717947,58.225806451612904,81.15873015873015,58.106849119233026,78.64285714285714,37.931034482758626
23,77.94871794871793,53.87096774193549,80.15873015873015,51.02756892230576,77.39285714285714,32.06896551724138
24,82.75641025641025,55.80645161290323,83.44444444444443,54.31789992885026,81.21428571428571,35.172413793103445
25,83.58974358974359,55.645161290322584,85.44444444444443,54.108537274558955,82.46428571428571,33.44827586206897
26,83.58974358974359,57.58064516129034,83.99999999999999,58.043558651530795,84.03174603174602,33.793103448275865
27,83.58974358974359,59.354838709677416,83.33333333333333,61.240859501695425,85.14285714285714,35.51724137931034
28,82.05128205128207,59.354838709677416,84.58333333333333,61.1783380018674,81.4920634920635,35.51724137931035
29,81.28205128205128,58.87096774193549,82.58333333333333,60.1936274509804,80.92063492063491,35.51724137931035
30,80.44871794871794,57.09677419354839,81.88095238095238,57.53893500720126,78.28174603174602,30.3448275862069
31,80.51282051282053,57.419354838709694,82.54761904761904,58.42436974789916,79.35317460317461,30.689655172413797
32,79.74358974358975,57.741935483870975,82.26984126984127,58.86507936507936,77.92460317460318,31.03448275862069
33,83.58974358974359,57.58064516129034,83.65873015873015,58.94404125286478,83.28174603174602,30.0
34,84.35897435897436,56.451612903225815,85.29761904761904,55.712256130522384,85.28174603174602,36.89655172413793
35,83.58974358974359,58.06451612903227,85.83333333333333,58.039682539682545,82.7420634920635,38.96551724137931
36,81.21794871794872,57.58064516129033,81.66666666666666,57.131949749596814,82.7420634920635,38.96551724137932
37,81.34615384615384,56.93548387096776,82.79761904761904,56.232456140350884,82.7420634920635,38.620689655172406
38,81.2820512820513,57.741935483870975,83.63095238095238,57.785094857581065,81.4920634920635,37.93103448275862
