Number of features,Accuracy_SRPBS,Accuracy_OPP,Accuracy_YALE,Accuracy_CAMBRIDGE,Precision_SRPBS,Precision_OPP,Precision_YALE,Precision_CAMBRIDGE,Recall_SRPBS,Recall_OPP,Recall_YALE,Recall_CAMBRIDGE
5,52.051282051282044,53.70967741935484,53.0,50.88235294117647,46.07142857142857,45.238438032555685,36.933517368299974,50.3030303030303,32.932539682539684,18.96551724137931,16.785714285714285,13.52941176470588
6,52.56410256410256,54.67741935483872,50.5,55.0,43.74999999999999,45.075746817707234,38.16793824342184,59.5436507936508,46.76190476190476,32.41379310344827,27.857142857142854,30.588235294117645
7,56.47435897435897,59.19354838709677,47.00000000000001,53.82352941176471,47.892857142857146,56.84010192705845,39.54190385134124,57.298917748917745,49.52777777777778,38.96551724137932,36.07142857142857,34.11764705882353
8,53.52564102564103,56.935483870967744,51.16666666666667,58.23529411764706,43.03571428571429,44.35294846196009,39.36580270945596,51.24064171122994,46.26587301587301,42.758620689655174,41.42857142857143,45.88235294117648
9,51.15384615384615,55.80645161290322,49.5,56.176470588235304,40.357142857142854,42.62042688273878,39.60651208151105,49.27241973712562,41.26587301587301,46.55172413793104,42.5,45.88235294117647
10,55.76923076923076,55.16129032258065,47.83333333333333,52.94117647058823,44.49206349206349,41.66841237484432,37.19720811075062,46.421794871794866,46.12301587301587,43.44827586206896,32.5,40.588235294117645
11,54.2948717948718,54.516129032258064,46.66666666666667,53.52941176470588,44.54761904761905,41.07802942315137,35.617216117216124,41.225010175010176,41.62301587301587,43.10344827586207,28.928571428571427,42.352941176470594
12,48.84615384615385,56.935483870967744,48.333333333333336,53.52941176470588,41.22222222222222,48.759954882515856,44.36841237437933,49.741467986204825,40.551587301587304,49.310344827586206,33.57142857142857,46.47058823529412
13,59.74358974358974,52.741935483870975,54.66666666666667,54.705882352941174,52.222222222222214,38.188687215776994,49.3851323255348,48.45940170940171,42.87301587301587,32.06896551724138,26.071428571428573,34.11764705882353
14,57.56410256410256,54.032258064516135,50.99999999999999,57.941176470588246,53.33333333333333,46.54220896635758,44.26524830183367,56.84063485534074,50.01190476190476,41.37931034482759,28.571428571428573,43.52941176470588
