,parameter
0,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
1,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
2,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
3,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}"
4,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
5,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
6,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
7,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
8,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
9,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
10,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
11,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
12,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
13,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
14,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
15,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
16,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
17,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
18,"{'C': 0.1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}"
19,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
20,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
21,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
22,"{'C': 100, 'degree': 2, 'gamma': 0.001, 'kernel': 'rbf'}"
23,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
24,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
25,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
26,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
27,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}"
28,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
29,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}"
30,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
31,"{'C': 100, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
32,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}"
33,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}"
34,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}"
35,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
36,"{'C': 1000, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
37,"{'C': 1, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}"
38,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
39,"{'C': 0.1, 'degree': 6, 'gamma': 1, 'kernel': 'poly'}"
40,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}"
41,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
42,"{'C': 100, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}"
43,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
44,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
45,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
46,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
47,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}"
48,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
49,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
50,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
51,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
52,"{'C': 100, 'degree': 5, 'gamma': 0.1, 'kernel': 'poly'}"
53,"{'C': 100, 'degree': 4, 'gamma': 'auto', 'kernel': 'poly'}"
54,"{'C': 10, 'degree': 4, 'gamma': 0.1, 'kernel': 'poly'}"
55,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
56,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
57,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
58,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
59,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}"
60,"{'C': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
61,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
62,"{'C': 0.1, 'degree': 4, 'gamma': 1, 'kernel': 'poly'}"
63,"{'C': 100, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
64,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
65,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
66,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
67,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}"
68,"{'C': 100, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
69,"{'C': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}"
70,"{'C': 0.1, 'degree': 5, 'gamma': 1, 'kernel': 'poly'}"
71,"{'C': 1000, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
72,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
73,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}"
74,"{'C': 1, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
75,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
76,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
77,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
78,"{'C': 0.1, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}"
79,"{'C': 1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}"
80,"{'C': 1, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}"
81,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
82,"{'C': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}"
83,"{'C': 0.1, 'degree': 5, 'gamma': 1, 'kernel': 'poly'}"
84,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'rbf'}"
85,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
86,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
87,"{'C': 1, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
88,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
89,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}"
90,"{'C': 1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}"
91,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}"
92,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
93,"{'C': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'rbf'}"
94,"{'C': 10, 'degree': 2, 'gamma': 0.1, 'kernel': 'rbf'}"
95,"{'C': 100, 'degree': 2, 'gamma': 1, 'kernel': 'linear'}"
96,"{'C': 100, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}"
97,"{'C': 0.1, 'degree': 2, 'gamma': 'scale', 'kernel': 'poly'}"
98,"{'C': 100, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
99,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf'}"
100,"{'C': 10, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}"
101,"{'C': 10, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}"
